,ExperimentID,ResultSetIDs,ContrastIDs,ExperimentIDs,FactorCategory,ExperimentalFactors,BaselineFactors,Subsetted,SubsetBy,Include,WrongBaseline,ResultsNotRegionSpecific,ReAnalyze,LooksGood
2,GSE315740,642375,373502,91485,disease model,depressive disorder delivered for duration 14 d,reference subject role,FALSE,NA,N,N,,Y,Needs re-analysis - currently compares stress+exercise to baseline instead of stress+no exercise
3,GSE315740,642375,373500,91485,disease model,"depressive disorder delivered for duration 14 d, exercise with aerobic and delivered for duration 21 d; depressive disorder delivered for duration 14 d, exercise with aerobic and delivered for duration 21 d; depressive disorder delivered for duration 14 d, exercise with aerobic and delivered for duration 21 d",reference subject role,FALSE,NA,N,N,,Y,Needs re-analysis - currently compares stress+exercise to baseline instead of stress+no exercise
4,GSE270831,642756,375659,91873,organism part,right cerebral hemisphere,left cerebral hemisphere,FALSE,NA,N,Y,N,N,"Model looks good: organism part is just hemisphere, so probably ok, but we would need to flip the direction of effect (Log2FC) in the output because the enriched group is set as reference"
5,GSE270831,642758,375656_375659,91873,"organism part,treatment",social isolation; right cerebral hemisphere,,FALSE,NA,N,Y,N,N,"Model looks good: organism part is just hemisphere, so probably ok, but we would need to flip the direction of effect (Log2FC) in the output because the enriched group is set as reference"
6,GSE270831,642757,375656,91873,treatment,social isolation,enrichment protocol has role control,FALSE,NA,Y,Y,N,N,"Model looks good: organism part is just hemisphere, so probably ok, but we would need to flip the direction of effect (Log2FC) in the output because the enriched group is set as reference"
7,GSE299436,609640,333418_333419,57697,"developmental stage,treatment",6 month  prime adult stage; exercise,,FALSE,NA,N,N,N,N,"Looks good: developmental stage actually means adult age, probably ok"
8,GSE299436,609642,333419,57697,treatment,exercise,reference substance role,FALSE,NA,Y,N,N,N,"Looks good: developmental stage actually means adult age, probably ok"
9,GSE299436,609641,333418,57697,developmental stage,6 month  prime adult stage,20 month  late adult stage,FALSE,NA,N,N,N,N,"Looks good: developmental stage actually means adult age, probably ok"
10,GSE283250,595353,300806,50339,treatment,"environmental stress treatment, response to toward Voluntary wheel running; environmental stress treatment, response to toward Voluntary wheel running",reference subject role,FALSE,NA,N,N,,Y,"Needs re-analysis - currently all groups are compared to the control subjects, but only the stressed subjects received wheel-running access (so they should really be compared to the stressed no-exercise group)"
11,GSE283250,595353,300807,50339,treatment,"environmental stress treatment, resistant to toward Voluntary wheel running; environmental stress treatment, resistant to toward Voluntary wheel running",reference subject role,FALSE,NA,N,N,,Y,"Needs re-analysis - currently all groups are compared to the control subjects, but only the stressed subjects received wheel-running access (so they should really be compared to the stressed no-exercise group)"
12,GSE283250,595353,300804,50339,treatment,environmental stress treatment,reference subject role,FALSE,NA,N,N,,Y,"Needs re-analysis - currently all groups are compared to the control subjects, but only the stressed subjects received wheel-running access (so they should really be compared to the stressed no-exercise group)"
13,GSE237890,583382,285047,38329,treatment,environmental stress treatment with social defeat and prime adult stage ; environmental stress treatment with social defeat and prime adult stage ,reference subject role,TRUE,Ammon's horn,M,N,,M,"Maybe worth re-analyzing - the current model would work for the juvenile play condition, but would not allow us to get results for the juvenile play+stress vs. stress condition (i.e., we would lose half our sample size)"
14,GSE237890,583382,285050,38329,treatment,juvenile stage  social play,reference subject role,TRUE,Ammon's horn,M,N,,M,"Maybe worth re-analyzing - the current model would work for the juvenile play condition, but would not allow us to get results for the juvenile play+stress vs. stress condition (i.e., we would lose half our sample size)"
15,GSE237890,583382,285049,38329,treatment,"environmental stress treatment with social defeat and prime adult stage , juvenile stage  social play; environmental stress treatment with social defeat and prime adult stage , juvenile stage  social play; environmental stress treatment with social defeat and prime adult stage , juvenile stage  social play",reference subject role,TRUE,Ammon's horn,M,N,,M,"Maybe worth re-analyzing - the current model would work for the juvenile play condition, but would not allow us to get results for the juvenile play+stress vs. stress condition (i.e., we would lose half our sample size)"
16,GSE237890,583383,285047,38329,treatment,environmental stress treatment with social defeat and prime adult stage ; environmental stress treatment with social defeat and prime adult stage ,reference subject role,TRUE,nucleus accumbens,M,N,,M,"Maybe worth re-analyzing - the current model would work for the juvenile play condition, but would not allow us to get results for the juvenile play+stress vs. stress condition (i.e., we would lose half our sample size)"
17,GSE237890,583383,285050,38329,treatment,juvenile stage  social play,reference subject role,TRUE,nucleus accumbens,M,N,,M,"Maybe worth re-analyzing - the current model would work for the juvenile play condition, but would not allow us to get results for the juvenile play+stress vs. stress condition (i.e., we would lose half our sample size)"
18,GSE237890,583383,285049,38329,treatment,"environmental stress treatment with social defeat and prime adult stage , juvenile stage  social play; environmental stress treatment with social defeat and prime adult stage , juvenile stage  social play; environmental stress treatment with social defeat and prime adult stage , juvenile stage  social play",reference subject role,TRUE,nucleus accumbens,M,N,,M,"Maybe worth re-analyzing - the current model would work for the juvenile play condition, but would not allow us to get results for the juvenile play+stress vs. stress condition (i.e., we would lose half our sample size)"
19,GSE242354,576680,232818,31805,biological sex,male,female,FALSE,NA,N,N,Y,Y,Needs re-analysis - needs to be subsetted to just hippocampus
20,GSE242354,576681,232792,31805,treatment,exercise delivered for duration 4 weeks,control,FALSE,NA,N,N,Y,Y,Needs re-analysis - needs to be subsetted to just hippocampus
21,GSE242354,576681,232788,31805,treatment,reference subject role,control,FALSE,NA,N,N,Y,Y,Needs re-analysis - needs to be subsetted to just hippocampus
22,GSE242354,576681,232790,31805,treatment,exercise delivered for duration 1 week,control,FALSE,NA,N,N,Y,Y,Needs re-analysis - needs to be subsetted to just hippocampus
23,GSE242354,576681,232791,31805,treatment,exercise delivered for duration 2 weeks,control,FALSE,NA,N,N,Y,Y,Needs re-analysis - needs to be subsetted to just hippocampus
24,GSE242354,576681,232793,31805,treatment,exercise delivered for duration 8 weeks,control,FALSE,NA,N,N,Y,Y,Needs re-analysis - needs to be subsetted to just hippocampus
25,GSE242354,576682,232798,31805,organism part,kidney,adrenal gland,FALSE,NA,N,N,Y,Y,Needs re-analysis - needs to be subsetted to just hippocampus
26,GSE242354,576682,232801,31805,organism part,colon,adrenal gland,FALSE,NA,N,N,Y,Y,Needs re-analysis - needs to be subsetted to just hippocampus
27,GSE242354,576682,232805,31805,organism part,Ammon's horn,adrenal gland,FALSE,NA,N,N,Y,Y,Needs re-analysis - needs to be subsetted to just hippocampus
28,GSE242354,576682,232803,31805,organism part,gastrocnemius,adrenal gland,FALSE,NA,N,N,Y,Y,Needs re-analysis - needs to be subsetted to just hippocampus
29,GSE242354,576682,232815,31805,organism part,vena cava,adrenal gland,FALSE,NA,N,N,Y,Y,Needs re-analysis - needs to be subsetted to just hippocampus
30,GSE242354,576682,232812,31805,organism part,spleen,adrenal gland,FALSE,NA,N,N,Y,Y,Needs re-analysis - needs to be subsetted to just hippocampus
31,GSE242354,576682,232802,31805,organism part,cerebral cortex,adrenal gland,FALSE,NA,N,N,Y,Y,Needs re-analysis - needs to be subsetted to just hippocampus
32,GSE242354,576682,232808,31805,organism part,liver,adrenal gland,FALSE,NA,N,N,Y,Y,Needs re-analysis - needs to be subsetted to just hippocampus
33,GSE242354,576682,232807,31805,organism part,kidney,adrenal gland,FALSE,NA,N,N,Y,Y,Needs re-analysis - needs to be subsetted to just hippocampus
34,GSE242354,576682,232806,31805,organism part,hypothalamus,adrenal gland,FALSE,NA,N,N,Y,Y,Needs re-analysis - needs to be subsetted to just hippocampus
35,GSE242354,576682,232810,31805,organism part,ovary,adrenal gland,FALSE,NA,N,N,Y,Y,Needs re-analysis - needs to be subsetted to just hippocampus
